participant,session_time,mem_nom,cond_1st,tree_behaviour,resource_distribution,trial,trial_number,bg_name,bg_type,loop,sample,t_absolute,secs_elapsed,sample_interval,flag,fruits,row,col,x,y
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,15,15,784.2678939028009,0.7675528626842834,0.23391921073402955,2,3,3.0,8.0,-7.9000244140625,196.0
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,16,16,784.5008908683357,1.0005498282190501,0.2329969655347668,1,3,3.0,11.0,246.699951171875,204.20001220703125
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,17,17,784.7339092405157,1.2335682003990769,0.23301837218002674,1,3,4.0,14.0,527.5,131.5
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,18,18,784.9680941282451,1.467753088128461,0.23418488772938417,3,3,4.0,14.0,551.0999755859375,117.60000610351562
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,19,19,785.0839946911519,1.5836536510353199,0.1159005629068588,3,3,4.0,14.0,553.0,111.0
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,20,20,785.2009805416526,1.7006395015359885,0.11698585050066868,1,3,6.0,15.0,596.5999755859375,-82.5999755859375
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,21,21,785.4340821944803,1.9337411543637018,0.23310165282771322,1,3,9.0,16.0,707.0999755859375,-453.4000244140625
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,22,22,785.6679228164343,2.167581776317661,0.23384062195395927,1,3,6.0,13.0,436.800048828125,-90.5999755859375
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,23,23,785.9011027648002,2.400761724683548,0.23317994836588696,1,3,7.0,11.0,267.300048828125,-199.4000244140625
P039,20191024143245,nom,patchy_1st,fade,patchy,tr06,6,leftpatchy_03,leftpatchy,24,24,786.1339836066151,2.6336425664984517,0.23288084181490376,0,3,,,165.800048828125,-329.4000244140625
